gender,experience_years,skill_score,education,hired
Male,15,57,Master,1
Female,12,65,Bachelor,0
Female,14,91,Master,1
Male,8,85,Bachelor,1
Male,3,79,Master,1
Male,8,67,Master,1
Male,15,51,Master,1
Female,5,98,Master,1
Female,1,62,Bachelor,0
Female,7,53,Bachelor,0
Male,5,75,Master,1
Female,6,74,Bachelor,1
Female,6,79,Bachelor,1
Male,8,60,Bachelor,1
Male,9,56,Master,1
Male,2,80,Bachelor,1
Male,9,93,Master,1
Male,12,59,PhD,1
Male,15,88,Bachelor,1
Male,11,62,Bachelor,1
Female,10,80,Bachelor,1
Male,9,56,PhD,1
Male,13,98,Bachelor,1
Male,10,91,Bachelor,1
Male,15,91,Bachelor,1
Female,10,85,Master,1
Male,7,69,Bachelor,1
Male,1,53,Master,0
Male,7,56,PhD,0
Male,10,50,Bachelor,1
Female,5,93,Master,1
Male,6,94,Bachelor,1
Male,10,91,PhD,1
Female,7,96,Master,1
Female,14,62,PhD,1
Female,15,71,Bachelor,1
Male,5,70,Bachelor,1
Male,7,71,Bachelor,1
Female,9,77,Bachelor,1
Male,3,58,Bachelor,0
Male,8,75,Bachelor,1
Male,2,58,Bachelor,0
Male,11,64,Bachelor,1
Female,7,59,Master,0
Male,13,73,Bachelor,1
Female,2,91,Bachelor,0
Male,15,57,Bachelor,1
Male,14,73,Bachelor,1
Male,4,65,PhD,1
Male,7,98,Bachelor,1
Female,3,75,Master,0
Female,2,76,PhD,1
Female,11,86,Master,1
Female,10,53,Master,1
Male,7,99,Master,1
Female,1,73,PhD,0
Male,14,68,Master,1
Male,15,85,Master,1
Male,8,88,Master,1
Male,3,59,Master,0
Male,12,74,Master,1
Male,12,67,Bachelor,1
Female,13,68,Bachelor,1
Male,2,85,Bachelor,1
Male,3,59,Bachelor,1
Male,5,82,Bachelor,1
Male,11,99,Bachelor,1
Female,8,54,Master,0
Male,10,96,Bachelor,1
Female,7,98,Master,1
Female,7,84,Bachelor,1
Male,12,93,Bachelor,1
Male,7,83,Master,1
Female,15,82,Master,1
Female,8,70,Bachelor,1
Female,1,66,PhD,0
Female,4,71,PhD,1
Male,13,97,Bachelor,1
Male,6,86,Bachelor,1
Male,9,64,PhD,1
Female,13,84,Master,1
Female,2,77,Master,1
Male,1,56,Master,0
Male,13,81,Bachelor,1
Male,10,60,Bachelor,1
Male,12,59,Bachelor,1
Female,14,58,Master,1
Female,2,63,Master,0
Female,7,62,Master,1
Male,3,74,Bachelor,1
Male,10,51,Bachelor,1
Female,2,84,Bachelor,1
Female,14,56,Master,1
Male,11,70,Master,1
Female,7,67,Bachelor,1
Male,13,52,PhD,1
Male,13,91,Bachelor,1
Male,2,88,PhD,1
Male,3,90,Bachelor,1
Male,11,98,Master,1
Male,7,60,Bachelor,1
Female,14,88,PhD,1
Male,4,73,Bachelor,1
Male,13,95,Bachelor,1
Female,14,68,Bachelor,1
Male,1,53,Bachelor,1
Male,13,75,Bachelor,1
Female,14,87,PhD,1
Male,5,91,Bachelor,1
Male,12,81,Master,1
Male,9,88,Master,1
Male,8,94,Master,1
Female,12,95,Bachelor,1
Female,15,85,Bachelor,1
Female,9,89,Master,1
Female,10,86,PhD,1
Female,14,82,Bachelor,1
Male,9,85,Bachelor,1
Female,15,52,Bachelor,1
Male,7,58,PhD,0
Female,4,57,Bachelor,0
Female,5,82,Bachelor,1
Male,1,55,PhD,0
Male,14,90,Bachelor,1
Male,1,88,Bachelor,1
Male,3,53,Master,0
